Periods;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;
Load (Data);1;2;3;12;18;18;15;12;17;20;24;17;15;10;5;
Load (Solution);4;7;9;13;18;18;23;30;23;23;24;19;16;18;7;
